#filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
augsburg_000000_000002_leftImg8bit.png,2440547,{},1,0,"{""name"":""polygon"",""all_points_x"":[268,7,17,270,268],""all_points_y"":[17,12,182,190,17]}",{}
augsburg_000000_000003_leftImg8bit.png,2465569,{},1,0,"{""name"":""polygon"",""all_points_x"":[209,209,424,428,209],""all_points_y"":[103,364,354,221,103]}",{}
augsburg_000000_000004_leftImg8bit.png,2480440,{},1,0,"{""name"":""polygon"",""all_points_x"":[183,188,531,525,183],""all_points_y"":[330,508,474,405,330]}",{}
augsburg_000000_000005_leftImg8bit.png,2590475,{},1,0,"{""name"":""polygon"",""all_points_x"":[941,1079,1075,939,941],""all_points_y"":[78,73,178,176,78]}",{}
augsburg_000000_000010_leftImg8bit.png,2677652,{},1,0,"{""name"":""polygon"",""all_points_x"":[1417,1618,1618,1426,1417],""all_points_y"":[275,197,477,447,275]}",{}
augsburg_000000_000010_leftImg8bit.png,2677652,{},1,0,"{""name"":""polygon"",""all_points_x"":[1417,1618,1618,1426,1417],""all_points_y"":[275,197,477,447,275]}",{}
augsburg_000000_000011_leftImg8bit.png,2707072,{},1,0,"{""name"":""polygon"",""all_points_x"":[1717,1850,1846,1721,1717],""all_points_y"":[276,245,401,395,276]}",{}
augsburg_000000_000012_leftImg8bit.png,2617590,{},1,0,"{""name"":""polygon"",""all_points_x"":[1765,1765,1937,1937,1765],""all_points_y"":[341,631,685,350,341]}",{}
augsburg_000000_000015_leftImg8bit.png,2803988,{},1,0,"{""name"":""polygon"",""all_points_x"":[131,478,476,133,131],""all_points_y"":[589,532,371,330,589]}",{}
augsburg_000000_000016_leftImg8bit.png,2772772,{},1,0,"{""name"":""polygon"",""all_points_x"":[1692,1694,1993,1993,1692],""all_points_y"":[317,577,662,331,317]}",{}
augsburg_000000_000021_leftImg8bit.png,2607041,{},1,0,"{""name"":""polygon"",""all_points_x"":[69,221,225,73,69],""all_points_y"":[209,199,306,313,209]}",{}
augsburg_000000_000027_leftImg8bit.png,2527313,{},1,0,"{""name"":""polygon"",""all_points_x"":[469,465,632,632,469],""all_points_y"":[284,397,389,288,284]}",{}
augsburg_000000_000028_leftImg8bit.png,2490307,{},1,0,"{""name"":""polygon"",""all_points_x"":[351,466,463,345,351],""all_points_y"":[262,260,121,124,262]}",{}
augsburg_000000_000029_leftImg8bit.png,2512467,{},1,0,"{""name"":""polygon"",""all_points_x"":[1241,1289,1290,1244,1241],""all_points_y"":[348,334,409,410,348]}",{}
augsburg_000000_000029_leftImg8bit.png,2512467,{},1,0,"{""name"":""polygon"",""all_points_x"":[1241,1289,1290,1244,1241],""all_points_y"":[348,334,409,410,348]}",{}
augsburg_000000_000030_leftImg8bit.png,2453540,{},1,0,"{""name"":""polygon"",""all_points_x"":[1071,1072,1094,1092,1071],""all_points_y"":[213,277,277,213,213]}",{}
augsburg_000000_000033_leftImg8bit.png,2400402,{},1,0,"{""name"":""polygon"",""all_points_x"":[1515,1647,1650,1522,1515],""all_points_y"":[27,26,175,171,27]}",{}
augsburg_000000_000034_leftImg8bit.png,2351071,{},1,0,"{""name"":""polygon"",""all_points_x"":[1239,1277,1282,1248,1239],""all_points_y"":[470,494,346,336,470]}",{}
augsburg_000000_000036_leftImg8bit.png,2429870,{},1,0,"{""name"":""rect"",""x"":1240,""y"":186,""width"":240,""height"":54}",{}
augsburg_000000_000037_leftImg8bit.png,2528766,{},1,0,"{""name"":""polygon"",""all_points_x"":[388,247,252,387,388],""all_points_y"":[286,284,418,411,286]}",{}
augsburg_000000_000039_leftImg8bit.png,2503721,{},1,0,"{""name"":""polygon"",""all_points_x"":[1640,1425,1432,1644,1640],""all_points_y"":[286,342,446,467,286]}",{}
augsburg_000000_000041_leftImg8bit.png,2559770,{},1,0,"{""name"":""polygon"",""all_points_x"":[546,704,696,531,546],""all_points_y"":[493,456,287,259,493]}",{}
augsburg_000000_000042_leftImg8bit.png,2581017,{},1,0,"{""name"":""polygon"",""all_points_x"":[1389,1393,1296,1295,1389],""all_points_y"":[39,115,123,45,39]}",{}
augsburg_000000_000043_leftImg8bit.png,2628846,{},1,0,"{""name"":""polygon"",""all_points_x"":[782,784,898,890,782],""all_points_y"":[178,288,289,191,178]}",{}
augsburg_000000_000043_leftImg8bit.png,2628846,{},1,0,"{""name"":""polygon"",""all_points_x"":[782,784,898,890,782],""all_points_y"":[178,288,289,191,178]}",{}
augsburg_000000_000046_leftImg8bit.png,2275516,{},1,0,"{""name"":""polygon"",""all_points_x"":[714,718,862,858,714],""all_points_y"":[189,306,310,199,189]}",{}
augsburg_000000_000048_leftImg8bit.png,2236705,{},1,0,"{""name"":""polygon"",""all_points_x"":[437,215,220,441,437],""all_points_y"":[176,170,310,318,176]}",{}
augsburg_000000_000051_leftImg8bit.png,2590670,{},1,0,"{""name"":""polygon"",""all_points_x"":[1212,1221,1367,1358,1212],""all_points_y"":[363,245,247,356,363]}",{}
augsburg_000000_000054_leftImg8bit.png,2499099,{},1,0,"{""name"":""polygon"",""all_points_x"":[916,919,1057,1057,916],""all_points_y"":[226,368,330,198,226]}",{}
augsburg_000000_000055_leftImg8bit.png,2640509,{},1,0,"{""name"":""polygon"",""all_points_x"":[1390,1459,1457,1386,1390],""all_points_y"":[227,218,74,83,227]}",{}
augsburg_000000_000058_leftImg8bit.png,2409978,{},1,0,"{""name"":""polygon"",""all_points_x"":[1900,1898,2032,2032,1900],""all_points_y"":[55,334,332,57,55]}",{}
augsburg_000000_000062_leftImg8bit.png,2641329,{},1,0,"{""name"":""polygon"",""all_points_x"":[74,76,462,462,74],""all_points_y"":[597,246,298,513,597]}",{}
augsburg_000000_000063_leftImg8bit.png,2564266,{},1,0,"{""name"":""polygon"",""all_points_x"":[217,211,495,507,217],""all_points_y"":[554,312,382,499,554]}",{}
augsburg_000000_000065_leftImg8bit.png,2492579,{},1,0,"{""name"":""polygon"",""all_points_x"":[288,588,614,326,288],""all_points_y"":[324,290,526,602,324]}",{}
augsburg_000000_000067_leftImg8bit.png,2393247,{},1,0,"{""name"":""polygon"",""all_points_x"":[114,462,466,121,114],""all_points_y"":[592,517,277,292,592]}",{}
augsburg_000000_000068_leftImg8bit.png,2441139,{},1,0,"{""name"":""polygon"",""all_points_x"":[1233,1232,1606,1606,1233],""all_points_y"":[270,568,664,254,270]}",{}
